Compound,hrs,yeast,rel_abundance
leucine,166,pil,0
leucine,166,sak,52.2784
leucine,166,bel,0
leucine,166,cal,2.3649
leucine,166,eng,19.4724
leucine,166,pil,0
leucine,166,sak,52.8977
leucine,190,bel,12.8165
leucine,190,cal,36.8608
leucine,190,eng,43.8351
leucine,190,pil,59.2797
leucine,190,sak,19.9124
leucine,190,bel,11.579
leucine,190,cal,39.1141
leucine,190,eng,40.4363
leucine,190,pil,0
leucine,190,sak,19.3455
leucine,190,bel,11.7019
leucine,190,cal,40.6855
leucine,190,eng,39.9773
leucine,190,pil,53.7652
leucine,190,sak,18.5908
leucine,214,bel,25.0218
leucine,214,cal,34.1082
leucine,214,eng,49.9025
leucine,214,pil,88.5351
leucine,214,sak,262.87
leucine,214,bel,19.0483
leucine,214,cal,23.077
leucine,214,eng,43.1248
leucine,214,pil,74.1305
leucine,214,sak,0
leucine,214,bel,16.0756
leucine,214,cal,0
leucine,214,eng,42.0805
leucine,214,pil,70.3247
leucine,214,sak,70.1179
leucine,238,bel,7.4818
leucine,238,cal,11.1003
leucine,238,eng,29.2063
leucine,238,pil,31.7526
leucine,238,sak,5.1986
leucine,238,bel,7.0273
leucine,238,cal,9.5287
leucine,238,eng,25.4481
leucine,238,pil,29.3375
leucine,238,sak,5.2813
leucine,238,bel,7.085
leucine,238,cal,0
leucine,238,eng,23.4524
leucine,238,pil,27.7868
leucine,238,sak,5.6054
leucine,262,bel,15.1012
leucine,262,cal,0
leucine,262,eng,26.9796
leucine,262,pil,18.8767
leucine,262,sak,17.2226
leucine,262,bel,14.7151
leucine,262,cal,0
leucine,262,eng,25.7071
leucine,262,pil,18.4278
leucine,262,sak,16.0404
leucine,262,bel,13.3482
leucine,262,cal,0
leucine,262,eng,26.0848
leucine,262,pil,17.1916
leucine,262,sak,15.078
leucine,362,bel,10.7032
leucine,362,cal,6.5704
leucine,362,eng,23.539
leucine,362,pil,25.4054
leucine,362,sak,18.1968
leucine,362,bel,10.9074
leucine,362,cal,5.6192
leucine,362,eng,22.6871
leucine,362,pil,24.4137
leucine,362,sak,18.295
leucine,362,bel,10.6991
leucine,362,cal,4.8192
leucine,362,eng,22.1221
leucine,362,pil,23.8468
leucine,362,sak,17.9101
leucine,407,bel,9.9583
leucine,407,cal,4.8198
leucine,407,eng,107.6865
leucine,407,pil,28.5342
leucine,407,sak,0
leucine,407,bel,10.3315
leucine,407,cal,4.9625
leucine,407,eng,87.6815
leucine,407,pil,27.9933
leucine,407,sak,0
leucine,407,bel,10.5432
leucine,407,cal,4.3404
leucine,407,eng,75.6377
leucine,407,pil,27.2712
leucine,407,sak,0
leucine,698,bel,17.954
leucine,698,cal,0
leucine,698,eng,28.0113
leucine,698,pil,0
leucine,698,sak,47.8643
leucine,698,bel,16.7973
leucine,698,cal,0
leucine,698,eng,29.1171
leucine,698,pil,28.6154
leucine,698,sak,42.8419
leucine,698,bel,16.8216
leucine,698,cal,0
leucine,698,eng,28.0146
leucine,698,pil,20.7713
leucine,698,sak,36.5859
isoleucine,0,bel,40.0672
isoleucine,0,cal,40.0672
isoleucine,0,eng,40.0672
isoleucine,0,pil,40.0672
isoleucine,0,sak,40.0672
isoleucine,0,bel,37.9453
isoleucine,0,cal,37.9453
isoleucine,0,eng,37.9453
isoleucine,0,pil,37.9453
isoleucine,0,sak,37.9453
isoleucine,0,bel,30.676
isoleucine,0,cal,30.676
isoleucine,0,eng,30.676
isoleucine,0,pil,30.676
isoleucine,0,sak,30.676
isoleucine,0.5,bel,19.8188
isoleucine,0.5,cal,19.8188
isoleucine,0.5,eng,19.8188
isoleucine,0.5,pil,19.8188
isoleucine,0.5,sak,19.8188
isoleucine,0.5,bel,19.5159
isoleucine,0.5,cal,19.5159
isoleucine,0.5,eng,19.5159
isoleucine,0.5,pil,19.5159
isoleucine,0.5,sak,19.5159
isoleucine,0.5,bel,19.836
isoleucine,0.5,cal,19.836
isoleucine,0.5,eng,19.836
isoleucine,0.5,pil,19.836
isoleucine,0.5,sak,19.836
isoleucine,0.75,bel,82.66
isoleucine,0.75,cal,82.66
isoleucine,0.75,eng,82.66
isoleucine,0.75,pil,82.66
isoleucine,0.75,sak,82.66
isoleucine,0.75,bel,69.5375
isoleucine,0.75,cal,69.5375
isoleucine,0.75,eng,69.5375
isoleucine,0.75,pil,69.5375
isoleucine,0.75,sak,69.5375
isoleucine,0.75,bel,70.615
isoleucine,0.75,cal,70.615
isoleucine,0.75,eng,70.615
isoleucine,0.75,pil,70.615
isoleucine,0.75,sak,70.615
isoleucine,1,bel,21.61
isoleucine,1,cal,21.61
isoleucine,1,eng,21.61
isoleucine,1,pil,21.61
isoleucine,1,sak,21.61
isoleucine,1,bel,19.1214
isoleucine,1,cal,19.1214
isoleucine,1,eng,19.1214
isoleucine,1,pil,19.1214
isoleucine,1,sak,19.1214
isoleucine,1,bel,18.3394
isoleucine,1,cal,18.3394
isoleucine,1,eng,18.3394
isoleucine,1,pil,18.3394
isoleucine,1,sak,18.3394
isoleucine,1.25,bel,29.6082
isoleucine,1.25,cal,29.6082
isoleucine,1.25,eng,29.6082
isoleucine,1.25,pil,29.6082
isoleucine,1.25,sak,29.6082
isoleucine,1.25,bel,32.7196
isoleucine,1.25,cal,32.7196
isoleucine,1.25,eng,32.7196
