Compound,log2_hrs,bel,cal,eng,pil,sak,,,,,,,,,,,,,,,,,,,,,
leucine,118,15.2511,1.0257,27.4796,60.4434,17.8924,,,,,,,,,,,,,,,,,,,,,
leucine,118,15.0775,1.0506,32.5192,61.0077,17.8166,,,,,,,,,,,,,,,,,,,,,
leucine,142,12.7865,1.0111,34.332,37.108,18.4512,,,,,,,,,,,,,,,,,,,,,
leucine,142,12.791,1.2823,33.2694,36.9746,18.0619,,,,,,,,,,,,,,,,,,,,,
leucine,142,12.0997,1.3352,33.0888,37.3114,17.4885,,,,,,,,,,,,,,,,,,,,,
leucine,166,,1.5124,20.2883,,61.5486,,,,,,,,,,,,,,,,,,,,,
leucine,166,,2.3416,19.9622,,52.2784,,,,,,,,,,,,,,,,,,,,,
leucine,166,,2.3649,19.4724,,52.8977,,,,,,,,,,,,,,,,,,,,,
leucine,190,12.8165,36.8608,43.8351,59.2797,19.9124,,,,,,,,,,,,,,,,,,,,,
leucine,190,11.579,39.1141,40.4363,,19.3455,,,,,,,,,,,,,,,,,,,,,
leucine,190,11.7019,40.6855,39.9773,53.7652,18.5908,,,,,,,,,,,,,,,,,,,,,
leucine,214,25.0218,34.1082,49.9025,88.5351,262.87,,,,,,,,,,,,,,,,,,,,,
leucine,214,19.0483,23.077,43.1248,74.1305,,,,,,,,,,,,,,,,,,,,,,
leucine,214,16.0756,,42.0805,70.3247,70.1179,,,,,,,,,,,,,,,,,,,,,
leucine,238,7.4818,11.1003,29.2063,31.7526,5.1986,,,,,,,,,,,,,,,,,,,,,
leucine,238,7.0273,9.5287,25.4481,29.3375,5.2813,,,,,,,,,,,,,,,,,,,,,
leucine,238,7.085,,23.4524,27.7868,5.6054,,,,,,,,,,,,,,,,,,,,,
leucine,262,15.1012,,26.9796,18.8767,17.2226,,,,,,,,,,,,,,,,,,,,,
leucine,262,14.7151,,25.7071,18.4278,16.0404,,,,,,,,,,,,,,,,,,,,,
leucine,262,13.3482,,26.0848,17.1916,15.078,,,,,,,,,,,,,,,,,,,,,
leucine,362,10.7032,6.5704,23.539,25.4054,18.1968,,,,,,,,,,,,,,,,,,,,,
leucine,362,10.9074,5.6192,22.6871,24.4137,18.295,,,,,,,,,,,,,,,,,,,,,
leucine,362,10.6991,4.8192,22.1221,23.8468,17.9101,,,,,,,,,,,,,,,,,,,,,
leucine,407,9.9583,4.8198,107.6865,28.5342,,,,,,,,,,,,,,,,,,,,,,
leucine,407,10.3315,4.9625,87.6815,27.9933,,,,,,,,,,,,,,,,,,,,,,
leucine,407,10.5432,4.3404,75.6377,27.2712,,,,,,,,,,,,,,,,,,,,,,
leucine,698,17.954,,28.0113,,47.8643,,,,,,,,,,,,,,,,,,,,,
leucine,698,16.7973,,29.1171,28.6154,42.8419,,,,,,,,,,,,,,,,,,,,,
